"c1fips","c1geoLat","c1geoLng","c2fips","c2geoLat","c2geoLng","Highway","drivetime","dist"
"19","39.75049","-122.205445","17020","39.7284944","-121.8374777","9028","2345","40521"
"18","37.245635","-121.088777","32900","37.3021632","-120.4829677","9026","3655","92439"
"16","36.252026","-120.242829","47300","36.3302284","-119.2920585","9022","3865","100628"
"15","35.396887","-119.396882","12540","35.3732921","-119.0187125","9020","2091","38173"
"14","37.055177","-120.9693","31460","36.9613356","-120.0607176","9018","3974","108416"
"39140","34.5400242","-112.4685025","13","34.32756","-112.121186","9016","2947","66259"
"14500","40.0149856","-105.2705456","12","40.159984","-104.979279","9014","2313","43666"
"8","34.627558","-86.901276","26620","34.7303688","-86.5861037","9010","1166","32787"
"5","32.641688","-85.352998","17980","32.4609764","-84.9877094","9006","1839","42754"
"49420","46.6020711","-120.5058987","4","46.969008","-120.506716","9005","1841","52484"
"3","41.375778","-72.19275","35980","41.5242649","-72.0759105","9004","1024","21521"
"2","33.316758","-80.547123","16700","32.7765656","-79.9309216","9002","3168","88990"
"24780","35.612661","-77.3663538","1","35.833402","-77.372804","9001","1329","26025"
"33140","41.7075394","-86.8950297","26100","42.7875235","-86.1089301","1096","5410","152460"
"26100","42.7875235","-86.1089301","24340","42.9633599","-85.6680863","1096","2130","44936"
"24340","42.9633599","-85.6680863","29620","42.732535","-84.5555347","1096","3701","109698"
"29620","42.732535","-84.5555347","19820","42.331427","-83.0457538","1096","4934","145458"
"40420","42.2711311","-89.0939952","33140","41.7075394","-86.8950297","1090","9542","236603"
"33140","41.7075394","-86.8950297","43780","41.6763545","-86.2519898","1090","2923","55340"
"43780","41.6763545","-86.2519898","21140","41.6819935","-85.9766671","1090","1988","35853"
"21140","41.6819935","-85.9766671","45780","41.6639383","-83.555212","1090","8057","230115"
"45780","41.6639383","-83.555212","41780","41.4489396","-82.7079605","1090","4126","101515"
"41780","41.4489396","-82.7079605","17460","41.4994954","-81.6954088","1090","4048","101461"
"17460","41.4994954","-81.6954088","21500","42.1292241","-80.085059","1090","6090","165165"
"21500","42.1292241","-80.085059","15380","42.8864468","-78.8783689","1090","5967","151696"
"15380","42.8864468","-78.8783689","40380","43.16103","-77.6109219","1090","4435","123022"
"40380","43.16103","-77.6109219","45060","43.0481221","-76.1474244","1090","5032","140016"
"45060","43.0481221","-76.1474244","46540","43.100903","-75.232664","1090","3239","88458"
"46540","43.100903","-75.232664","10580","42.6525793","-73.7562317","1090","5355","150685"
"10580","42.6525793","-73.7562317","44140","42.1014831","-72.589811","1090","5149","138267"
"44140","42.1014831","-72.589811","49340","42.2625932","-71.8022934","1090","3347","83788"
"49340","42.2625932","-71.8022934","14460","42.3584308","-71.0597732","1090","3076","77079"
"35620","40.7143528","-74.0059731","39100","41.7003713","-73.9209701","1087","5937","134779"
"39100","41.7003713","-73.9209701","28740","41.9270367","-73.9973608","1087","1848","30914"
"28740","41.9270367","-73.9973608","10580","42.6525793","-73.7562317","1087","3287","90199"
"10580","42.6525793","-73.7562317","24020","43.3095164","-73.6440058","1087","3227","84302"
"24020","43.3095164","-73.6440058","99996","45.5","-73.5667","1087","9798","275228"
"25420","40.2737002","-76.8844179","42540","41.408969","-75.6624122","1081","7057","194604"
"42540","41.408969","-75.6624122","13780","42.0986867","-75.9179738","1081","3738","98122"
"13780","42.0986867","-75.9179738","45060","43.0481221","-76.1474244","1081","4156","117551"
"12060","33.7489954","-84.3879824","12020","33.95","-83.3833333","1078","4663","114946"
"15940","40.7989473","-81.378447","10420","41.0814447","-81.5190053","1077","1833","37539"
"10420","41.0814447","-81.5190053","17460","41.4994954","-81.6954088","1077","2559","63080"
"34980","36.1666667","-86.7833333","17300","36.5297706","-87.3594528","1069","3245","78422"
"17300","36.5297706","-87.3594528","21780","37.9715592","-87.5710898","1069","6585","175978"
"21780","37.9715592","-87.5710898","9","38.169114","-87.469819","1069","1529","32039"
"9","38.169114","-87.469819","14020","39.165325","-86.5263857","1069","6122","160499"
"14020","39.165325","-86.5263857","26900","39.768403","-86.158068","1069","3887","90041"
"26900","39.768403","-86.158068","23060","41.079273","-85.1393513","1069","7255","209336"
"23060","41.079273","-85.1393513","21140","41.6819935","-85.9766671","1069","5957","107562"
"26900","39.768403","-86.158068","29140","40.4167022","-86.8752869","1065","3992","101207"
"29140","40.4167022","-86.8752869","16980","41.8781136","-87.6297982","1065","7203","202357"
"39580","35.7795897","-78.6381787","40580","35.9382103","-77.7905339","1064","3522","97992"
"40580","35.9382103","-77.7905339","1","35.833402","-77.372804","1064","1634","42744"
"33460","44.983334","-93.26667","20260","46.7866719","-92.1004852","1035","8352","248259"
"46700","38.1040864","-122.2566367","34900","38.2975381","-122.286865","1029","1525","25891"
"88884","22.6033","-100.4297","88883","25.5394","-103.4486","1025","23456","636561"
"88883","25.5394","-103.4486","88881","28.6353","-106.0889","1025","18114","471617"
"88881","28.6353","-106.0889","21340","31.7587198","-106.4869314","1025","14606","373263"
"48900","34.2257255","-77.9447102","27340","34.7540524","-77.4302414","1017","3879","83327"
"88886","19","-102.3667","88885","20.6667","-103.3503","1015","15974","358752"
"41860","37.7749295","-122.4194155","17","37.78781","-121.302506","580","4124","113551"
