FIPS,MSANameFull,GDP,GDPPerCapita,Population,MSACity,MSAState,City,State,geoLat,geoLng,Highway,Spur
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",1123460,59080,19015911,New York-Northern New Jersey-Long Island,NY-NJ-PA,New York,NY,40.7143528,-74.0059731,"95,78,1087",
31100,"Los Angeles-Long Beach-Santa Ana, CA",663054,51222,12944711,Los Angeles-Long Beach-Santa Ana,CA,Los Angeles,CA,34.0522342,-118.2436849,"10,5,101,40",
16980,"Chicago-Joliet-Naperville, IL-IN-WI",476487,50131,9504837,Chicago-Joliet-Naperville,IL-IN-WI,Chicago,IL,41.8781136,-87.6297982,"94,55,80,1065",
19100,"Dallas-Fort Worth-Arlington, TX",351002,53781,6526506,Dallas-Fort Worth-Arlington,TX,Dallas,TX,32.7801399,-96.8004511,"35,45,20",
26420,"Houston-Sugar Land-Baytown, TX",365560,60060,6086580,Houston-Sugar Land-Baytown,TX,Houston,TX,29.7601927,-95.3693896,"10,45,6",
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",308377,51461,5992441,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,Philadelphia,PA,39.952335,-75.163789,"76,95",
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",380714,66746,5703922,Washington-Arlington-Alexandria,DC-VA-MD-WV,Washington,DC,38.9072309,-77.0364641,95,
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",231361,40804,5670057,Miami-Fort Lauderdale-Pompano Beach,FL,Miami,FL,25.7889689,-80.2264393,"95,75",
12060,"Atlanta-Sandy Springs-Marietta, GA",249509,46557,5359216,Atlanta-Sandy Springs-Marietta,GA,Atlanta,GA,33.7489954,-84.3879824,"20,75,85,1078",
14460,"Boston-Cambridge-Quincy, MA-NH",291017,63387,4591115,Boston-Cambridge-Quincy,MA-NH,Boston,MA,42.3584308,-71.0597732,"1090,95,3,89",
41860,"San Francisco-Oakland-Fremont, CA",303371,69089,4391017,San Francisco-Oakland-Fremont,CA,San Francisco,CA,37.7749295,-122.4194155,"101,80,580",
40140,"Riverside-San Bernardino-Ontario, CA",96675,22456,4305086,Riverside-San Bernardino-Ontario,CA,Riverside,CA,33.9533487,-117.3961564,"15,10",
19820,"Detroit-Warren-Livonia, MI",175774,41013,4285812,Detroit-Warren-Livonia,MI,Detroit,MI,42.331427,-83.0457538,"94,75,1096",
38060,"Phoenix-Mesa-Glendale, AZ",173026,40586,4263194,Phoenix-Mesa-Glendale,AZ,Phoenix,AZ,33.4483771,-112.0740373,"17,10",
42660,"Seattle-Tacoma-Bellevue, WA",213393,60969,3500025,Seattle-Tacoma-Bellevue,WA,Seattle,WA,47.6062095,-122.3320708,"5,90,16",
