"FIPS","MSANameFull","Population","City","State","geoLat","geoLng","Highway","x","y","nearFIPS0","nearDist0","nearFIPS1","nearDist1","nearFIPS2","nearDist2","nearFIPS3","nearDist3","nearFIPS4","nearDist4","nearDrive0","nearDrive1","nearDrive2","nearDrive3","nearDrive4"
"24780","Greenville, NC","192678","Greenville","NC","35.612661","-77.3663538","9001","0.8","0.4","47900","446167","37980","674032","35620","833930","12060","850042","14460","1218552","15293","23276","27932","25015","39775"
"1","Junction","0","Junction","NC","35.833402","-77.372804","1064,9001","0.8","0.39","47900","420142","37980","648007","35620","807905","12060","824017","14460","1192527","18712","26695","31351","20293","43193"
"16700","Charleston-North Charleston-Summerville, SC","682124","Charleston","SC","32.7765656","-79.9309216","9002","0.79","0.48","12060","710534","47900","890845","33100","1081082","37980","1118710","35620","1278608","16714","27784","30901","35767","40423"
"2","Junction","0","Junction","SC","33.316758","-80.547123","9002,95","0.78","0.48","12060","621544","47900","801855","33100","992092","37980","1029720","35620","1189618","15627","24122","36812","32106","36761"
"35980","Norwich-New London, CT","273503","Norwich","CT","41.5242649","-72.0759105","9004","0.896","0.236","14460","202588","35620","225076","37980","384974","47900","612839","99995","1007172","6037","8678","13962","21329","29266"
"3","Junction","0","Junction","CT","41.375778","-72.19275","9004,95","0.904","0.244","14460","181067","35620","203555","37980","363453","47900","591318","99995","985651","61355","51464","49513","46799","36695"
"49420","Yakima, WA","247129","Yakima","WA","46.6020711","-120.5058987","9005,82","0.07","0.12","42660","239141","44060","324786","99991","468213","38900","525306","14260","1215892","7845","10653","15856","11029","19318"
"4","Junction","0","Junction","WA","46.969008","-120.506716","90,9005","0.07","0.11","42660","186657","99991","415729","38900","472822","14260","1163408","99993","1433566","826","9255","9947","27233","41587"
"17980","Columbus, GA-AL","301441","Columbus","GA","32.4609764","-84.9877094","9006","0.668","0.524","12060","202401","26420","1247007","19100","1361034","47900","1361072","33100","1387741","6087","37058","39829","39727","32160"
"5","Junction","0","Junction","GA","32.641688","-85.352998","85,9006","0.67","0.5","26420","1204253","19100","1318280","47900","1318318","33100","1344987","16980","1410914","37796","40567","38175","33895","41757"
"34900","Napa, CA","138097","Napa","CA","38.2975381","-122.286865","1029","0.03","0.27","31100","781268","40140","873424","41740","975897","42660","1386206","38060","1392586","21093","23926","27625","42421","39620"
"12100","Atlantic City-Hammonton, NJ","274343","Atlantic City","NJ","39.3642834","-74.4229266","76","0.848","0.312","37980","99590","35620","259488","47900","327455","14460","644110","99995","1115153","3867","7412","11476","19254","31052"
"7","Junction","0","Junction","NJ","40.218733","-76.083466","222,76","0.82","0.29","47900","225260","35620","229927","99995","919822","16980","1277238","12060","1383931","9982","4445","28391","41713","43377"
"26620","Huntsville, AL","425476","Huntsville","AL","34.7303688","-86.5861037","9010","0.64","0.45","12060","447152","16980","1052008","45300","1228761","19100","1268775","19820","1276898","12024","31275","34675","36402","34500"
"8","Junction","0","Junction","AL","34.627558","-86.901276","65,9010","0.63","0.45","12060","414365","16980","1019221","19100","1235988","26420","1420293","47900","1436237","9329","39860","33924","32189","42969"
"21780","Evansville, IN-KY","359889","Evansville","IN","37.9715592","-87.5710898","1069","0.63","0.38","16980","586143","47900","1295242","37980","1382847","99995","1404579","19100","1444087","19430","38693","42838","38491","39881"
"9","Junction","0","Junction","IN","38.169114","-87.469819","64,1069","0.632","0.36","16980","554104","47900","1263203","37980","1350808","99995","1372540","19100","1412048","0","0","0","0","0"
"22660","Fort Collins-Loveland, CO","305541","Fort Collins","CO","40.5852602","-105.084423","25","0.28","0.31","19740","131235","41620","782473","10740","866728","28140","1130009","29820","1352538","4142","24039","26076","32540","41737"
"24540","Greeley, CO","258652","Greeley","CO","40.4233142","-104.7091322","34","0.284","0.32","19740","135401","41620","841529","10740","870894","28140","1134175","29820","1356704","4195","26099","26129","32381","41790"
"11","Junction","0","Junction","CO","40.406699","-104.993012","25,34","0.28","0.32","19740","103790","41620","809918","10740","839283","28140","1102564","29820","1325093","64454","37375","64273","91713","36532"
"14500","Boulder, CO","299383","Boulder","CO","40.0149856","-105.2705456","9014","0.27","0.33","19740","103366","10740","838859","41620","897674","28140","1102140","29820","1324669","2280","24214","27638","30884","39727"
"12","Junction","0","Junction","CO","40.159984","-104.979279","25,9014","0.28","0.33","10740","795193","41620","854008","28140","1058474","29820","1281003","36420","1434454","64273","37375","91713","36532","91495"
"39140","Prescott, AZ","211886","Prescott","AZ","34.5400242","-112.4685025","9016","0.15","0.43","38060","170177","40140","689339","31100","781495","41740","976124","29820","1049979","6164","18611","21432","22184","13872"
