FIPS,MSANameFull,GDP,GDPPerCapita,Population,MSACity,MSAState,City,State
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",1123460,59080,19015911,New York-Northern New Jersey-Long Island,NY-NJ-PA,New York,NY
31100,"Los Angeles-Long Beach-Santa Ana, CA",663054,51222,12944711,Los Angeles-Long Beach-Santa Ana,CA,Los Angeles,CA
16980,"Chicago-Joliet-Naperville, IL-IN-WI",476487,50131,9504837,Chicago-Joliet-Naperville,IL-IN-WI,Chicago,IL
19100,"Dallas-Fort Worth-Arlington, TX",351002,53781,6526506,Dallas-Fort Worth-Arlington,TX,Dallas,TX
26420,"Houston-Sugar Land-Baytown, TX",365560,60060,6086580,Houston-Sugar Land-Baytown,TX,Houston,TX
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",308377,51461,5992441,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,Philadelphia,PA
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",380714,66746,5703922,Washington-Arlington-Alexandria,DC-VA-MD-WV,Washington,DC
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",231361,40804,5670057,Miami-Fort Lauderdale-Pompano Beach,FL,Miami,FL
12060,"Atlanta-Sandy Springs-Marietta, GA",249509,46557,5359216,Atlanta-Sandy Springs-Marietta,GA,Atlanta,GA
14460,"Boston-Cambridge-Quincy, MA-NH",291017,63387,4591115,Boston-Cambridge-Quincy,MA-NH,Boston,MA
41860,"San Francisco-Oakland-Fremont, CA",303371,69089,4391017,San Francisco-Oakland-Fremont,CA,San Francisco,CA
40140,"Riverside-San Bernardino-Ontario, CA",96675,22456,4305086,Riverside-San Bernardino-Ontario,CA,Riverside,CA
19820,"Detroit-Warren-Livonia, MI",175774,41013,4285812,Detroit-Warren-Livonia,MI,Detroit,MI
38060,"Phoenix-Mesa-Glendale, AZ",173026,40586,4263194,Phoenix-Mesa-Glendale,AZ,Phoenix,AZ
42660,"Seattle-Tacoma-Bellevue, WA",213393,60969,3500025,Seattle-Tacoma-Bellevue,WA,Seattle,WA
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",182059,54862,3318490,Minneapolis-St. Paul-Bloomington,MN-WI,Minneapolis,MN
41740,"San Diego-Carlsbad-San Marcos, CA",152916,48698,3140088,San Diego-Carlsbad-San Marcos,CA,San Diego,CA
45300,"Tampa-St. Petersburg-Clearwater, FL",102454,36270,2824759,Tampa-St. Petersburg-Clearwater,FL,Tampa,FL
41180,"St. Louis, MO-IL",114072,40489,2817358,St. Louis,MO-IL,St. Louis,MO
12580,"Baltimore-Towson, MD",129709,47528,2729107,Baltimore-Towson,MD,Baltimore,MD
19740,"Denver-Aurora-Broomfield, CO",144296,55509,2599506,Denver-Aurora-Broomfield,CO,Denver,CO
38300,"Pittsburgh, PA",101576,43045,2359763,Pittsburgh,PA,Pittsburgh,PA
38900,"Portland-Vancouver-Hillsboro, OR-WA",140896,62272,2262590,Portland-Vancouver-Hillsboro,OR-WA,Portland,OR
41700,"San Antonio-New Braunfels, TX",75397,34351,2194900,San Antonio-New Braunfels,TX,San Antonio,TX
40900,"Sacramento-Arden-Arcade-Roseville, CA",82628,37969,2176196,Sacramento-Arden-Arcade-Roseville,CA,Sacramento,CA
36740,"Orlando-Kissimmee-Sanford, FL",89948,41425,2171346,Orlando-Kissimmee-Sanford,FL,Orlando,FL
17140,"Cincinnati-Middletown, OH-KY-IN",88492,41390,2138004,Cincinnati-Middletown,OH-KY-IN,Cincinnati,OH
17460,"Cleveland-Elyria-Mentor, OH",92681,44811,2068264,Cleveland-Elyria-Mentor,OH,Cleveland,OH
28140,"Kansas City, MO-KS",95470,46510,2052677,Kansas City,MO-KS,Kansas City,MO
29820,"Las Vegas-Paradise, NV",81001,41118,1969964,Las Vegas-Paradise,NV,Las Vegas,NV
41940,"San Jose-Sunnyvale-Santa Clara, CA",176446,94587,1865436,San Jose-Sunnyvale-Santa Clara,CA,San Jose,CA
18140,"Columbus, OH",82313,44291,1858459,Columbus,OH,Columbus,OH
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",103662,57735,1795479,Charlotte-Gastonia-Rock Hill,NC-SC,Charlotte,NC
12420,"Austin-Round Rock-San Marcos, TX",84842,47570,1783519,Austin-Round Rock-San Marcos,TX,Austin,TX
26900,"Indianapolis-Carmel, IN",89832,50508,1778570,Indianapolis-Carmel,IN,Indianapolis,IN
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",70075,41714,1679892,Virginia Beach-Norfolk-Newport News,VA-NC,Virginia Beach,VA
34980,"Nashville-Davidson-Murfreesboro-Franklin, TN",75968,46977,1617132,Nashville-Davidson-Murfreesboro-Franklin,TN,Nashville,TN
39300,"Providence-New Bedford-Fall River, RI-MA",59338,37081,1600227,Providence-New Bedford-Fall River,RI-MA,Providence,RI
33340,"Milwaukee-Waukesha-West Allis, WI",77283,49470,1562220,Milwaukee-Waukesha-West Allis,WI,Milwaukee,WI
27260,"Jacksonville, FL",52966,38939,1360230,Jacksonville,FL,Jacksonville,FL
32820,"Memphis, TN-MS-AR",55844,42127,1325611,Memphis,TN-MS-AR,Memphis,TN
31140,"Louisville-Jefferson County, KY-IN",51634,39876,1294864,Louisville-Jefferson County,KY-IN,Louisville,KY
36420,"Oklahoma City, OK",53509,41868,1278041,Oklahoma City,OK,Oklahoma City,OK
40060,"Richmond, VA",57529,45321,1269367,Richmond,VA,Richmond,VA
25540,"Hartford-West Hartford-East Hartford, CT",73258,60382,1213242,Hartford-West Hartford-East Hartford,CT,Hartford,CT
35380,"New Orleans-Metairie-Kenner, LA",66768,56056,1191095,New Orleans-Metairie-Kenner,LA,New Orleans,LA
39580,"Raleigh-Cary, NC",51903,44609,1163510,Raleigh-Cary,NC,Raleigh,NC
41620,"Salt Lake City, UT",62595,54625,1145904,Salt Lake City,UT,Salt Lake City,UT
15380,"Buffalo-Niagara Falls, NY",39774,35073,1134035,Buffalo-Niagara Falls,NY,Buffalo,NY
13820,"Birmingham-Hoover, AL",46200,40804,1132242,Birmingham-Hoover,AL,Birmingham,AL
40380,"Rochester, NY",40076,37976,1055298,Rochester,NY,Rochester,NY
46060,"Tucson, AZ",28060,28356,989561,Tucson,AZ,Tucson,AZ
26180,"Honolulu, HI",44983,46682,963605,Honolulu,HI,Honolulu,HI
46140,"Tulsa, OK",40666,42944,946954,Tulsa,OK,Tulsa,OK
23420,"Fresno, CA",26621,28232,942937,Fresno,CA,Fresno,CA
14860,"Bridgeport-Stamford-Norwalk, CT",74869,80861,925898,Bridgeport-Stamford-Norwalk,CT,Bridgeport,CT
10740,"Albuquerque, NM",34842,38772,898638,Albuquerque,NM,Albuquerque,NM
36540,"Omaha-Council Bluffs, NE-IA",42341,48273,877116,Omaha-Council Bluffs,NE-IA,Omaha,NE
10580,"Albany-Schenectady-Troy, NY",35299,40505,871473,Albany-Schenectady-Troy,NY,Albany,NY
35300,"New Haven-Milford, CT",34390,39936,861128,New Haven-Milford,CT,New Haven,CT
12540,"Bakersfield-Delano, CA",28265,33186,851715,Bakersfield-Delano,CA,Bakersfield,CA
19380,"Dayton, OH",29744,35184,845384,Dayton,OH,Dayton,OH
37100,"Oxnard-Thousand Oaks-Ventura, CA",33684,40496,831786,Oxnard-Thousand Oaks-Ventura,CA,Oxnard,CA
10900,"Allentown-Bethlehem-Easton, PA-NJ",26194,31753,824930,Allentown-Bethlehem-Easton,PA-NJ,Allentown,PA
21340,"El Paso, TX",24706,30100,820797,El Paso,TX,El Paso,TX
12940,"Baton Rouge, LA",37644,46575,808245,Baton Rouge,LA,Baton Rouge,LA
49340,"Worcester, MA",26834,33491,801230,Worcester,MA,Worcester,MA
32580,"McAllen-Edinburg-Mission, TX",13252,16611,797785,McAllen-Edinburg-Mission,TX,McAllen,TX
24340,"Grand Rapids-Wyoming, MI",29637,38016,779593,Grand Rapids-Wyoming,MI,Grand Rapids,MI
17900,"Columbia, SC",27765,35728,777122,Columbia,SC,Columbia,SC
24660,"Greensboro-High Point, NC",30725,42034,730956,Greensboro-High Point,NC,Greensboro,NC
30780,"Little Rock-North Little Rock-Conway, AR",29080,40964,709892,Little Rock-North Little Rock-Conway,AR,Little Rock,AR
35840,"North Port-Bradenton-Sarasota, FL",21056,29683,709362,North Port-Bradenton-Sarasota,FL,North Port,FL
28940,"Knoxville, TN",28994,41155,704507,Knoxville,TN,Knoxville,TN
10420,"Akron, OH",24259,34583,701472,Akron,OH,Akron,OH
44700,"Stockton, CA",16861,24218,696218,Stockton,CA,Stockton,CA
44140,"Springfield, MA",20135,29046,693211,Springfield,MA,Springfield,MA
16700,"Charleston-North Charleston-Summerville, SC",25051,36725,682124,Charleston-North Charleston-Summerville,SC,Charleston,SC
39100,"Poughkeepsie-Newburgh-Middletown, NY",20223,30054,672889,Poughkeepsie-Newburgh-Middletown,NY,Poughkeepsie,NY
45060,"Syracuse, NY",23762,35865,662540,Syracuse,NY,Syracuse,NY
17820,"Colorado Springs, CO",23907,36205,660323,Colorado Springs,CO,Colorado Springs,CO
45780,"Toledo, OH",23939,36814,650269,Toledo,OH,Toledo,OH
24860,"Greenville-Mauldin-Easley, SC",23667,36558,647382,Greenville-Mauldin-Easley,SC,Greenville,SC
15980,"Cape Coral-Fort Myers, FL",17747,28111,631319,Cape Coral-Fort Myers,FL,Cape Coral,FL
14260,"Boise City-Nampa, ID",25397,40463,627660,Boise City-Nampa,ID,Boise City,ID
48620,"Wichita, KS",23875,38167,625540,Wichita,KS,Wichita,KS
29460,"Lakeland-Winter Haven, FL",14396,23619,609509,Lakeland-Winter Haven,FL,Lakeland,FL
19780,"Des Moines-West Des Moines, IA",35883,61840,580255,Des Moines-West Des Moines,IA,Des Moines,IA
31540,"Madison, WI",32163,55794,576460,Madison,WI,Madison,WI
