Metropolitan areas	Latitude	Longitude	Country	Population (persons)	GDP of the metropolitan area as % of national value	GDP per capita (US$)	Note on Lat/Lon
Mexico City	19.43	-99.14	Mexico	19060284	22.36	16245.68	By hand
Los Angeles	34.0522342	-118.2436849	United States	16900720	5.72	44454.43	
New York	40.7142691	-74.0059729	United States	16848626	7.27	56755.26	
Chicago	41.850033	-87.6500523	United States	9419201	3.44	48012.68	
San Francisco	37.76	-122.4	United States	6785571	3.03	58638.8	By hand
Toronto	43.666667	-79.416667	Canada	6489606	18.06	33337.97	OK
Dallas–Fort Worth	32.79	-96.77	United States	6119735	1.55	47948.66	By hand
Miami	25.78	-80.21	United States	5518628	1.68	40104.04	By hand
Houston	29.7628844	-95.3830615	United States	5475726	2.32	55765.39	
Washington	38.9	-77.02	United States	5161357	2.27	57889.21	
Atlanta	33.7489954	-84.3879824	United States	4599961	1.41	40325.39	
Guadalajara	20.666823	-103.391824	Mexico	4180730	4.84	16051.05	OK
Montreal	45.52	-73.57	Canada	4134528	10.03	29056.1	By hand
Detroit	42.331427	-83.0457538	United States	4068412	1.13	36527.61	
Philadelphia	39.952335	-75.163789	United States	4030894	1.47	48003.95	
Phoenix	33.4483771	-112.0740373	United States	3988165	1.17	38663.12	
Monterrey	25.67	-100.3	Mexico	3842889	7.32	26398.99	By hand
Boston	42.33	-71.02	United States	3804273	1.44	49862.11	By hand
Minneapolis	44.96	-93.27	United States	3304170	1.15	45887.71	By hand
San Diego	32.7153292	-117.1572551	United States	3003793	1.22	53553.01	
Seattle	47.62	-122.4	United States	2648716	1.07	52885.91	By hand
Saint Louis	38.64	-90.24	United States	2609359	0.78	39120.19	By hand
Denver	39.7391536	-104.9847034	United States	2479714	0.95	50503.87	
Vancouver	49.25	-123.133333	Canada	2320652	6.58	33981.78	OK
Portland	45.5234515	-122.6762071	United States	2218347	0.75	44335.32	
Cincinnati	39.1361111	-84.5030556	United States	2137394	0.66	40394.07	
Sacramento/Roseville	38.57	-121.5	United States	1963992	0.64	42986.89	By hand
Baltimore	39.2903848	-76.6121893	United States	1959662	0.86	57888.56	
Kansas City	39.0997265	-94.5785667	United States	1951421	0.61	41175.03	
Las Vegas	36.114646	-115.172816	United States	1933533	0.62	42428.14	
San Antonio	29.4241219	-98.4936282	United States	1925598	0.56	38185.24	
Puebla	19.05	-98.22	Mexico	1851166	2.11	15800.92	By hand
Toluca	19.29	-99.67	Mexico	1831013	2.46	18593.08	By hand
Orlando	28.53	-81.38	United States	1807222	0.47	34081.89	By hand
Columbus	32.4609764	-84.9877094	United States	1698129	0.5	39046.9	
Austin	43.6666296	-92.9746367	United States	1664804	0.57	45207.16	
Indianapolis	39.7683765	-86.1580423	United States	1661572	0.51	40623.8	
Cleveland	41.48	-81.68	United States	1589413	0.44	36260.94	By hand
Milwaukee	43.0389025	-87.9064736	United States	1583983	0.51	42678.25	
Tijuana	32.544171	-116.975699	Mexico	1479054	1.42	13331.52	OK
Juárez	18.25	-91.025	Mexico	1379500	1.13	11330.02	OK
Ottawa-Gatineau	45.521977	-75.571993	Canada	1376677	3.76	32755.11	OK
Clearwater/Saint Petersburg	27.98	-82.77	United States	1345880	0.41	39821.68	By hand
Charlotte	35.2270869	-80.8431267	United States	1321286	0.42	41345.72	
Pittsburgh	40.4406248	-79.9958864	United States	1283359	0.39	40047.59	
León	21.121306	-101.668009	Mexico	1281147	1.36	14720.99	OK
Memphis	35.1495343	-90.0489801	United States	1278237	0.36	37320.46	
Nashville	36.1658899	-86.7844432	United States	1266253	0.37	38104.9	
Calgary	51.083333	-114.083333	Canada	1265702	6.37	60283.82	OK
Mérida	20.97	-89.62	Mexico	1234501	1.25	14022.75	By hand
Torreón	25.55	-103.4	Mexico	1219908	1.32	14971.29	By hand
Tampa	27.97	-82.48	United States	1216333	0.37	39821.35	By hand
Louisville	38.2542376	-85.759407	United States	1215575	0.36	38529.82	
Edmonton	53.55	-113.5	Canada	1163058	5.93	61119.51	OK
Jacksonville	30.3321838	-81.655651	United States	1151526	0.35	40084.24	
New Orleans	29.9647222	-90.0705556	United States	1151260	0.42	47882.95	
Oklahoma city	35.4675602	-97.5164276	United States	1149106	0.35	39969.9	
Salt Lake City	40.7607793	-111.8910474	United States	1146959	0.34	38909.31	
Buffalo	42.8864468	-78.8783689	United States	1136540	0.31	36116.66	
Raleigh	35.83	-78.64	United States	1094439	0.36	43046.36	By hand
Norfolk-Portsmouth-Chesapeake-Virginia beach	36.92	-76.24	United States	1090580	0.35	42479.41	By hand
Fresno	36.78	-119.8	United States	1051661	0.25	31339.23	By hand
Tucson	32.2217429	-110.926479	United States	1012351	0.26	33309.43	
San Luis Potosí	22.149929	-100.982802	Mexico	991528	1.25	17406.86	
Birmingham	33.5206608	-86.80249	United States	943029	0.27	36966.93	
Tulsa	36.1539816	-95.992775	United States	935783	0.29	40284.13	
Mexicali	32.650022	-115.461069	Mexico	926791	0.91	13619.46	
Aguascalientes	21.88234	-102.282586	Mexico	879602	0.95	15010.57	
Querétaro	20.599774	-100.389933	Mexico	873995	1.38	21853.27	
Providence	41.82	-71.42	United States	850507	0.32	49862.13	By hand
Omaha	41.254006	-95.999258	United States	847665	0.3	46720.6	
Albuquerque	35.11	-106.6	United States	847248	0.25	39160.61	By hand
Albany	31.5785074	-84.155741	United States	842168	0.26	41021.66	
Cuernavaca	18.933725	-99.228488	Mexico	838892	0.79	12993.02	
Winnipeg	49.883333	-97.166667	Canada	815136	2.22	32633.41	
Chihuahua	25.188985	-99.762267	Mexico	807340	1.46	24969.34	
Quebec	46.8	-71.25	Canada	803388	1.99	29670.21	
Culiacán	24.807372	-107.397337	Mexico	784466	0.78	13742.8	
Centro	22.411293	-101.109981	Mexico	770568	2.26	40559.39	
El Paso	31.7587198	-106.4869314	United States	748416	0.18	31366.02	
Hermosillo	29.066667	-110.916667	Mexico	729016	1.22	23116.6	
Acapulco de Juárez	16.856933	-99.901496	Mexico	724857	0.82	15609.48	
Mcallen	26.2034071	-98.2300124	United States	721992	0.13	22795.85	
Tampico	28.169084	-113.994892	Mexico	720061	0.83	15963.08	
Dayton	39.7589478	-84.1916069	United States	714429	0.19	35028.88	
Saltillo	20.694581	-102.162339	Mexico	693200	1.12	22335.16	
Little Rock	34.73	-92.36	United States	668357	0.17	33618.98	By hand
Veracruz	15.301198	-92.501437	Mexico	667739	0.79	16370.62	
Charleston	32.7765656	-79.9309216	United States	649645	0.19	37786.99	
Morelia	17.652511	-92.817388	Mexico	647839	0.56	11925.02	
Grand Rapids	42.96	-85.66	United States	641107	0.16	32894.42	By hand
Baton Rouge	30.4507462	-91.154551	United States	638940	0.23	46682.16	
Columbia	34.0007104	-81.0348144	United States	633945	0.17	36085.45	
Tuxtla Gutiérrez	16.754689	-93.114852	Mexico	617581	0.4	9051.77	
Colorado Springs	38.87	-104.8	United States	616529	0.19	41337.49	By hand
Hamilton	43.256101	-79.857484	Canada	610742	1.76	34586.27	
Des Moines	41.57	-93.62	United States	606062	0.21	44491.65	By hand
Oaxaca de Juárez	17.071084	-96.719141	Mexico	604350	0.5	11449.99	
Harrisburg	40.28	-76.89	United States	582413	0.16	35878.49	By hand
Wichita	37.69	-97.34	United States	577996	0.17	38806.08	By hand
Madison	43.0730517	-89.4012302	United States	556831	0.17	40723.15	
Akron	41.0814447	-81.5190053	United States	553060	0.15	36260.95	
Richmond	37.53	-77.48	United States	543269	0.17	42050.38	By hand
Toledo	41.6639383	-83.555212	United States	467809	0.12	34735.89	
